P1,P2,P3,P4,P5,C ,D 
30.3,786.79,3.03,2014,0,335574.8,72
27.248,588,3.12,2014,0,264880,66
24.72,530,8.16,2011,0,281127.36,77
38.48,700.96,9.18,2012,0,286047.9232,87
38.48,757.5,6.3,2011,0,239546.3378,71
41.82,327.42,5,2014,0,239070.1,64
63.86,1145.55,10.1,2015,0,530124.232,79
77.52,1326,12.6,2014,0,540516.9,84
77.52,1365,12.6,2014,0,561108.02,88
52,1020,9.45,2010,0,303776.8272,76
51,1338.75,12.48,2010,0,409126.894,86
73.13,965.56,9.45,2010,0,363888.62,97
73.84,979.2,9.27,2014,0,405804.96,76
44.72,808,8.32,2010,0,299471.1364,91
44.29,1297.85,2.06,2014,0,484012.32,82
37.74,429.51,7.28,2010,0,206757.0396,76
38.11,989.83,1.04,2014,0,257875.2,74
54.08,1462.65,13.52,2014,0,556038.34,90
47.38,489.84,7.28,2015,0,318274.528,67
92.4,1095,6,2014,0,447796.8,99
89.76,1095,15.45,2014,0,425662.08,83
62,1354.5,13.39,2015,0,586162.478,84
54.06,570,9.36,2014,0,334588.56,84
46.8,1041.6,9.09,2014,0,444852.88,97
42.23,875.5,8.32,2014,0,412286.34,91
58.8,728,9.36,2015,0,406331.94,89
58.8,741.6,9.18,2012,0,322211.7184,75
35,388.31,6.3,2012,0,218951.6604,64
51,325.5,7.35,2015,0,314066.932,68
28.56,291.2,5.25,2013,0,223332.12,61
28,291.2,5.05,2015,0,272961.48,61
27.27,496.08,5.25,2010,0,192430.7594,64
28.56,282.8,5.15,2015,0,270480.012,64
27.27,484.1,5.25,2014,0,298276.32,76
31.31,804.96,11.44,2011,0,363756.636,93
51,468.65,6.3,2014,0,280302,68
100,1594.95,15,2012,0,555045.48,90
104,1510.62,15.45,2014,0,568561.76,123
81.37,918.09,12.48,2012,0,407676.94,78
42.23,537.32,8.16,2012,0,244693.8384,68
44.72,560.32,6.06,2014,0,290659.4,67
91.8,721,13.26,2015,0,587685.12,91
40.17,510.05,8.24,2014,0,333285.84,76
48.3,484.1,7,2014,0,283955.76,68
38.76,556.5,7.21,2010,0,219202.2976,67
67,1161.5,11.11,2011,0,407228.56,108
67.67,1150,10.5,2011,0,383161.2862,85
66.95,918.75,15.3,2010,0,334292.112,79
77.7,1758.75,11.11,2014,0,665708,123
55.08,1237.95,10.3,2014,0,429336.6,81
70,926.16,10,2014,0,492192.48,92
33.28,661.5,6,2014,0,377869.8,83
73.5,123.76,10.3,2015,0,321143.68,58
70,878.7,11.22,2010,0,344926.4016,77
33.6,612,6.06,2010,0,238581.0966,72
99.91,1185.6,4.08,2014,0,517623.2,81
52.5,878.7,13.65,2014,0,402470.64,78
45.45,622.16,9.27,2014,0,329078.2,73
60.9,1375.5,9.18,2011,0,378083.86,82
57.68,884,8.4,2011,0,314957.4582,73
81.6,1399,12.6,2011,0,445587.2652,84
51,624,11.11,2011,0,258454.5964,69
32.32,795.6,8.4,2011,0,254998.4976,74
28.08,420,7.35,2014,0,258935.16,64
27.54,532.35,7.14,2014,0,297369.6,70
39.9,1074.32,6.18,2014,0,390993.9,77
30.9,681.2,5,2013,0,309324.62,85
84,962.02,9.45,2014,0,627000,79
80.85,1393,17.17,2014,0,655801.08,91
46.35,621.09,6.24,2014,0,301094.2,70
63.44,1038.36,12.48,2012,0,385832.6648,78
47.25,640.5,7.14,2013,0,305631.076,79
47.25,630,7.07,2013,0,275101.2,71
65.52,1513.99,12.12,2013,0,505589.436,92
55.12,1236,28.35,2013,0,546125.976,86
54.59,1391.25,11,2013,0,490171.968,86
28.28,205.92,5.25,2014,0,225737.6,60
51,379.6,5.1,2012,0,197673.1196,64
52.53,376.95,7.28,2013,0,271297.18,73
52.53,327.6,7.07,2013,0,239368.14,62
29.12,343.35,5.1,2014,1,242139.04,65
42,1050.4,11.55,2014,1,464268.24,82
64.89,2075.45,13,2014,1,539630.96,102
58.24,1923.6,3,2014,1,504860.4,97
52.02,1730,7.28,2014,1,562817.86,93
47.84,1431.7,10.4,2014,1,523579.32,86
39.39,1146.35,10.5,2014,1,406758,83
40.8,1010,3.15,2014,1,369115.56,78
25,551.2,4.08,2014,1,260350.26,70
25.75,663.32,8.16,2014,1,273854,69
27.3,466.62,8.16,2014,1,267460.12,68
40.56,413.03,5.1,2014,1,276551.88,67
30.3,404,5.25,2014,1,268474.8,64
19.57,373.32,5.25,2014,1,243608.64,65
24,491.64,5,2014,1,268741.44,64
57.57,1189.78,13.52,2014,1,487023.68,82
54.6,443.39,5.2,2014,1,261063.8,67
35.7,870,10.4,2014,1,385802.56,77
62.4,1270.58,11.44,2013,1,500942.97,81
47.25,884,7.14,2013,1,329738.904,76
29.58,330,6.18,2012,1,214739.7824,71
26.26,300,5,2012,1,198154.76,67
20.8,401.7,5.2,2014,1,226978.56,66
33.6,256.02,4.08,2014,1,227904.6,60
40.8,896.1,10.4,2014,1,339458,73
35.7,404,4.16,2014,1,241997.8,64
